Sample in Buffer,Sample in Window,TRIGGER,inst_jtag_tunnel/_inst_jtag_tunnel_jtag_tck,u_ila_jtag__bscane2_SHIFT,_inst_jtag_tunnel_jtag_tdi,inst_jtag_tunnel/_inst_jtag_tunnel_jtag_tms,inst_jtag_tunnel/_system_debug_systemjtag_jtag_TDO_data,inst_jtag_tunnel/tdiRegister_reg_n_0,inst_jtag_tunnel/shiftCounter[6:0],inst_jtag_tunnel/posCounter_reg[7:0],inst_jtag_tunnel/negCounter_reg[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,1,0,0,1,1,00,02,02
1,1,0,0,1,0,0,1,1,00,02,02
2,2,0,0,1,0,0,1,1,00,02,02
3,3,0,0,1,0,0,1,1,00,02,02
4,4,0,0,1,0,0,1,1,00,02,02
5,5,0,0,1,0,0,1,1,00,02,02
6,6,0,0,1,0,0,1,1,00,02,02
7,7,0,0,1,0,0,1,1,00,02,02
8,8,0,0,1,0,0,1,1,00,02,02
9,9,0,0,1,0,0,1,1,00,02,02
10,10,0,0,1,0,0,1,1,00,02,02
11,11,0,0,1,0,0,1,1,00,02,02
12,12,0,0,1,0,0,1,1,00,02,02
13,13,0,0,1,0,0,1,1,00,02,02
14,14,0,0,1,0,0,1,1,00,02,02
15,15,0,0,1,0,0,1,1,00,02,02
16,16,0,0,1,0,0,1,1,00,02,02
17,17,0,0,1,0,0,1,1,00,02,02
18,18,0,0,1,0,0,1,1,00,02,02
19,19,0,0,1,0,0,1,1,00,02,02
20,20,0,0,1,0,0,1,1,00,02,02
21,21,0,0,1,0,0,1,1,00,02,02
22,22,0,0,1,0,0,1,1,00,02,02
23,23,0,0,1,0,0,1,1,00,02,02
24,24,0,0,1,0,0,1,1,00,02,02
25,25,0,0,1,0,0,1,1,00,02,02
26,26,0,0,1,0,0,1,1,00,02,02
27,27,0,0,1,0,0,1,1,00,02,02
28,28,0,0,1,0,0,1,1,00,02,02
29,29,0,0,1,0,0,1,1,00,02,02
30,30,0,0,1,0,0,1,1,00,02,02
31,31,0,0,1,0,0,1,1,00,02,02
32,32,0,0,1,0,0,1,1,00,02,02
33,33,0,0,1,0,0,1,1,00,02,02
34,34,0,0,1,0,0,1,1,00,02,02
35,35,0,0,1,0,0,1,1,00,02,02
36,36,0,0,1,0,0,1,1,00,02,02
37,37,0,0,1,0,0,1,1,00,02,02
38,38,0,0,1,0,0,1,1,00,02,02
39,39,0,0,1,0,0,1,1,00,02,02
40,40,0,0,1,0,0,1,1,00,02,02
41,41,0,0,1,0,0,1,1,00,02,02
42,42,0,0,1,0,0,1,1,00,02,02
43,43,0,0,1,0,0,1,1,00,02,02
44,44,0,0,1,0,0,1,1,00,02,02
45,45,0,0,1,0,0,1,1,00,02,02
46,46,0,0,1,0,0,1,1,00,02,02
47,47,0,0,1,0,0,1,1,00,02,02
48,48,0,0,1,0,0,1,1,00,03,02
49,49,0,0,1,0,0,1,1,00,03,02
50,50,0,0,1,0,0,1,1,00,03,02
51,51,0,0,1,0,0,1,1,00,03,02
52,52,0,0,1,0,0,1,1,00,03,02
53,53,0,0,1,0,0,1,1,00,03,02
54,54,0,0,1,0,0,1,1,00,03,02
55,55,0,0,1,0,0,1,1,00,03,02
56,56,0,0,1,0,0,1,1,00,03,02
57,57,0,0,1,0,0,1,1,00,03,02
58,58,0,0,1,0,0,1,1,00,03,02
59,59,0,0,1,0,0,1,1,00,03,02
60,60,0,0,1,0,0,1,1,00,03,02
61,61,0,0,1,0,0,1,1,00,03,02
62,62,0,0,1,0,0,1,1,00,03,02
63,63,0,0,1,0,0,1,1,00,03,02
64,64,0,0,1,0,0,1,1,00,03,02
65,65,0,0,1,0,0,1,1,00,03,02
66,66,0,0,1,0,0,1,1,00,03,02
67,67,0,0,1,0,0,1,1,00,03,02
68,68,0,0,1,0,0,1,1,00,03,02
69,69,0,0,1,0,0,1,1,00,03,02
70,70,0,0,1,0,0,1,1,00,03,02
71,71,0,0,1,0,0,1,1,00,03,02
72,72,0,0,1,0,0,1,1,00,03,02
73,73,0,0,1,0,0,1,1,00,03,02
74,74,0,0,1,0,0,1,1,00,03,02
75,75,0,0,1,0,0,1,1,00,03,02
76,76,0,0,1,0,0,1,1,00,03,02
77,77,0,0,1,0,0,1,1,00,03,02
78,78,0,0,1,0,0,1,1,00,03,02
79,79,0,0,1,0,0,1,1,00,03,02
80,80,0,0,1,0,0,1,1,00,03,02
81,81,0,0,1,0,0,1,1,00,03,02
82,82,0,0,1,0,0,1,1,00,03,02
83,83,0,0,1,0,0,1,1,00,03,02
84,84,0,0,1,0,0,1,1,00,03,02
85,85,0,0,1,0,0,1,1,00,03,02
86,86,0,0,1,0,0,1,1,00,03,02
87,87,0,0,1,0,0,1,1,00,03,02
88,88,0,0,1,0,0,1,1,00,03,02
89,89,0,0,1,0,0,1,1,00,03,02
90,90,0,0,1,0,0,1,1,00,03,02
91,91,0,0,1,0,0,1,1,00,03,02
92,92,0,0,1,0,0,1,1,00,03,02
93,93,0,0,1,0,0,1,1,00,03,02
94,94,0,0,1,0,0,1,1,00,03,02
95,95,0,0,1,0,0,1,1,00,03,02
96,96,0,0,1,0,0,1,1,00,03,02
97,97,0,0,1,0,0,1,1,00,03,02
98,98,0,0,1,0,0,1,1,00,03,02
99,99,0,0,1,0,0,1,1,00,03,02
100,100,0,0,1,0,0,1,1,00,03,02
101,101,0,0,1,0,0,1,1,00,03,02
102,102,0,0,1,0,0,1,1,00,03,02
103,103,0,0,1,0,0,1,1,00,03,02
104,104,0,0,1,0,0,1,1,00,03,02
105,105,0,0,1,0,0,1,1,00,03,02
106,106,0,0,1,0,0,1,1,00,03,02
107,107,0,0,1,0,0,1,1,00,03,02
108,108,0,0,1,0,0,1,1,00,03,02
109,109,0,0,1,0,0,1,1,00,03,02
110,110,0,0,1,0,0,1,1,00,03,02
111,111,0,0,1,0,0,1,1,00,03,02
112,112,0,0,1,0,0,1,1,00,03,02
113,113,0,0,1,0,0,1,1,00,03,02
114,114,0,0,1,0,0,1,1,00,03,02
115,115,0,0,1,0,0,1,1,00,03,02
116,116,0,0,1,0,0,1,1,00,03,02
117,117,0,0,1,0,0,1,1,00,03,02
118,118,0,0,1,0,0,1,1,00,03,02
119,119,0,0,1,0,0,1,1,00,03,02
120,120,0,0,1,0,0,1,1,00,03,02
121,121,0,0,1,0,0,1,1,00,03,02
122,122,0,0,1,0,0,1,1,00,03,02
123,123,0,0,1,0,0,1,1,00,03,02
124,124,0,0,1,0,0,1,1,00,03,02
125,125,0,0,1,0,0,1,1,00,03,02
126,126,0,0,1,0,0,1,1,00,03,02
127,127,0,0,1,0,0,1,1,00,03,02
128,128,0,0,1,0,0,1,1,00,03,02
129,129,0,0,1,0,0,1,1,00,03,02
130,130,0,0,1,0,0,1,1,00,03,02
131,131,0,0,1,0,0,1,1,00,03,02
132,132,0,0,1,0,0,1,1,00,03,02
133,133,0,0,1,0,0,1,1,00,03,02
134,134,0,0,1,0,0,1,1,00,03,02
135,135,0,0,1,0,0,1,1,00,03,02
136,136,0,0,1,0,0,1,1,00,03,02
137,137,0,0,1,0,0,1,1,00,03,02
138,138,0,0,1,0,0,1,1,00,03,02
139,139,0,0,1,0,0,1,1,00,03,02
140,140,0,0,1,0,0,1,1,00,03,02
141,141,0,0,1,0,0,1,1,00,03,02
142,142,0,0,1,0,0,1,1,00,03,02
143,143,0,0,1,0,0,1,1,00,03,02
144,144,0,0,1,0,0,1,1,00,03,02
145,145,0,0,1,0,0,1,1,00,03,02
146,146,0,0,1,0,0,1,1,00,03,02
147,147,0,0,1,0,0,1,1,00,03,02
148,148,0,0,1,0,0,1,1,00,03,02
149,149,0,0,1,0,0,1,1,00,03,02
150,150,0,0,1,0,0,1,1,00,03,02
151,151,0,0,1,0,0,1,1,00,03,02
