
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       2164
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:902            0.0.0.0:0              LISTENING       6748
  TCP    0.0.0.0:912            0.0.0.0:0              LISTENING       6748
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       10572
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       8780
  TCP    0.0.0.0:8900           0.0.0.0:0              LISTENING       4448
  TCP    0.0.0.0:13688          0.0.0.0:0              LISTENING       6572
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       2028
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1928
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2704
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       4424
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       6204
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       2000
  TCP    0.0.0.0:58720          0.0.0.0:0              LISTENING       35912
  TCP    0.0.0.0:58738          0.0.0.0:0              LISTENING       30900
  TCP    26.26.26.1:139         0.0.0.0:0              LISTENING       4
  TCP    26.26.26.1:49762       4.155.224.202:443      ESTABLISHED     35772
  TCP    26.26.26.1:50396       49.7.47.44:443         ESTABLISHED     35972
  TCP    26.26.26.1:51154       183.47.122.37:443      ESTABLISHED     31348
  TCP    26.26.26.1:51314       74.179.65.112:443      ESTABLISHED     35772
  TCP    26.26.26.1:51685       182.200.199.207:36032  TIME_WAIT       0
  TCP    26.26.26.1:51694       61.184.21.163:45357    TIME_WAIT       0
  TCP    26.26.26.1:51709       116.253.246.53:19390   TIME_WAIT       0
  TCP    26.26.26.1:51712       122.228.98.176:443     ESTABLISHED     24744
  TCP    26.26.26.1:51718       123.151.207.13:32012   TIME_WAIT       0
  TCP    26.26.26.1:51729       117.63.251.248:57809   TIME_WAIT       0
  TCP    26.26.26.1:51737       117.187.109.194:21573  TIME_WAIT       0
  TCP    26.26.26.1:51740       222.209.90.217:40731   TIME_WAIT       0
  TCP    26.26.26.1:51742       222.169.222.194:32378  TIME_WAIT       0
  TCP    26.26.26.1:51744       180.141.240.85:18184   TIME_WAIT       0
  TCP    26.26.26.1:51746       220.168.156.85:51467   TIME_WAIT       0
  TCP    26.26.26.1:51750       119.41.18.63:42982     TIME_WAIT       0
  TCP    26.26.26.1:51757       117.176.252.5:21601    TIME_WAIT       0
  TCP    26.26.26.1:51764       123.172.144.202:61441  TIME_WAIT       0
  TCP    26.26.26.1:51769       112.41.41.211:5092     TIME_WAIT       0
  TCP    26.26.26.1:51770       36.49.77.217:26089     TIME_WAIT       0
  TCP    26.26.26.1:51771       220.172.174.156:10771  TIME_WAIT       0
  TCP    26.26.26.1:51772       175.31.15.20:24327     TIME_WAIT       0
  TCP    26.26.26.1:51781       36.49.77.217:26089     TIME_WAIT       0
  TCP    26.26.26.1:51785       121.228.177.115:443    TIME_WAIT       0
  TCP    26.26.26.1:51787       175.31.15.20:24327     TIME_WAIT       0
  TCP    26.26.26.1:51789       39.172.89.237:33474    TIME_WAIT       0
  TCP    26.26.26.1:51790       163.142.180.45:20295   TIME_WAIT       0
  TCP    26.26.26.1:51802       61.184.21.163:45357    TIME_WAIT       0
  TCP    26.26.26.1:51805       159.27.247.0:443       TIME_WAIT       0
  TCP    26.26.26.1:51807       182.200.199.207:36032  TIME_WAIT       0
  TCP    26.26.26.1:51810       122.228.0.64:443       TIME_WAIT       0
  TCP    26.26.26.1:51813       159.27.247.0:443       TIME_WAIT       0
  TCP    26.26.26.1:51822       116.253.246.53:19390   TIME_WAIT       0
  TCP    26.26.26.1:51825       123.151.207.13:32012   TIME_WAIT       0
