
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       2164
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:902            0.0.0.0:0              LISTENING       6748
  TCP    0.0.0.0:912            0.0.0.0:0              LISTENING       6748
  TCP    0.0.0.0:3333           0.0.0.0:0              LISTENING       37480
  TCP    0.0.0.0:4444           0.0.0.0:0              LISTENING       37480
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       10572
  TCP    0.0.0.0:6666           0.0.0.0:0              LISTENING       37480
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       8780
  TCP    0.0.0.0:8900           0.0.0.0:0              LISTENING       4448
  TCP    0.0.0.0:13688          0.0.0.0:0              LISTENING       6572
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       2028
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1928
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2704
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       4424
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       6204
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       2000
  TCP    0.0.0.0:58720          0.0.0.0:0              LISTENING       35912
  TCP    0.0.0.0:58738          0.0.0.0:0              LISTENING       30900
  TCP    26.26.26.1:139         0.0.0.0:0              LISTENING       4
  TCP    26.26.26.1:49333       4.155.244.95:443       CLOSE_WAIT      35772
  TCP    26.26.26.1:49339       124.114.73.51:22098    ESTABLISHED     8308
  TCP    26.26.26.1:49344       121.204.90.19:56769    ESTABLISHED     8308
  TCP    26.26.26.1:49346       119.145.208.243:3309   ESTABLISHED     8308
  TCP    26.26.26.1:49350       171.107.140.92:37863   ESTABLISHED     8308
  TCP    26.26.26.1:49351       116.11.4.217:53666     ESTABLISHED     8308
  TCP    26.26.26.1:49352       111.25.39.53:27403     ESTABLISHED     8308
  TCP    26.26.26.1:49353       58.59.215.30:21247     ESTABLISHED     8308
  TCP    26.26.26.1:49354       123.172.144.202:61441  ESTABLISHED     8308
  TCP    26.26.26.1:49360       222.169.222.194:32378  ESTABLISHED     8308
  TCP    26.26.26.1:49762       4.155.224.202:443      ESTABLISHED     35772
  TCP    26.26.26.1:50396       49.7.47.44:443         ESTABLISHED     35972
  TCP    26.26.26.1:51154       183.47.122.37:443      ESTABLISHED     31348
  TCP    26.26.26.1:51201       4.155.244.95:443       ESTABLISHED     35772
  TCP    26.26.26.1:51262       26.26.26.53:53         TIME_WAIT       0
  TCP    26.26.26.1:51314       74.179.65.112:443      ESTABLISHED     35772
  TCP    26.26.26.1:51998       143.92.32.224:80       ESTABLISHED     14148
  TCP    26.26.26.1:52302       26.26.26.53:53         TIME_WAIT       0
  TCP    26.26.26.1:52606       26.26.26.53:53         TIME_WAIT       0
  TCP    26.26.26.1:54706       61.153.154.124:443     ESTABLISHED     24744
  TCP    26.26.26.1:54740       115.227.155.247:16666  ESTABLISHED     35772
  TCP    26.26.26.1:55821       26.26.26.53:53         TIME_WAIT       0
  TCP    26.26.26.1:56022       61.153.154.124:443     ESTABLISHED     35972
  TCP    26.26.26.1:56643       23.59.88.35:443        CLOSE_WAIT      21232
  TCP    26.26.26.1:57525       150.171.28.11:443      ESTABLISHED     35772
  TCP    26.26.26.1:58849       20.125.54.134:443      ESTABLISHED     35772
  TCP    26.26.26.1:59944       122.228.99.160:443     ESTABLISHED     24744
  TCP    26.26.26.1:59974       121.228.176.143:443    ESTABLISHED     8308
  TCP    26.26.26.1:59991       123.172.144.202:61441  TIME_WAIT       0
  TCP    26.26.26.1:60007       220.182.9.86:56739     TIME_WAIT       0
  TCP    26.26.26.1:60022       180.141.240.85:18184   TIME_WAIT       0
