
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       2164
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:902            0.0.0.0:0              LISTENING       6748
  TCP    0.0.0.0:912            0.0.0.0:0              LISTENING       6748
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       10572
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       8780
  TCP    0.0.0.0:8900           0.0.0.0:0              LISTENING       4448
  TCP    0.0.0.0:13688          0.0.0.0:0              LISTENING       6572
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       2028
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1928
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2704
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       4424
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       6204
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       2000
  TCP    0.0.0.0:58720          0.0.0.0:0              LISTENING       35912
  TCP    0.0.0.0:58738          0.0.0.0:0              LISTENING       30900
  TCP    26.26.26.1:139         0.0.0.0:0              LISTENING       4
  TCP    26.26.26.1:49681       61.153.154.124:443     ESTABLISHED     24744
  TCP    26.26.26.1:49762       4.155.224.202:443      ESTABLISHED     35772
  TCP    26.26.26.1:50396       49.7.47.44:443         ESTABLISHED     35972
  TCP    26.26.26.1:51154       183.47.122.37:443      ESTABLISHED     31348
  TCP    26.26.26.1:51314       74.179.65.112:443      ESTABLISHED     35772
  TCP    26.26.26.1:54740       115.227.155.247:16666  ESTABLISHED     35772
  TCP    26.26.26.1:56568       13.107.226.70:443      ESTABLISHED     12648
  TCP    26.26.26.1:56570       116.11.3.172:47622     ESTABLISHED     8308
  TCP    26.26.26.1:56572       110.187.118.9:42178    TIME_WAIT       0
  TCP    26.26.26.1:56574       219.139.77.136:53927   ESTABLISHED     8308
  TCP    26.26.26.1:56576       14.218.11.60:12361     ESTABLISHED     8308
  TCP    26.26.26.1:56578       113.90.80.45:50291     ESTABLISHED     8308
  TCP    26.26.26.1:56580       183.47.30.163:3234     ESTABLISHED     8308
  TCP    26.26.26.1:56588       49.67.219.169:10093    ESTABLISHED     8308
  TCP    26.26.26.1:56593       58.214.248.25:42460    ESTABLISHED     8308
  TCP    26.26.26.1:56597       180.143.162.27:13539   ESTABLISHED     8308
  TCP    26.26.26.1:56598       202.104.204.160:36767  ESTABLISHED     8308
  TCP    26.26.26.1:56601       115.148.162.36:45555   ESTABLISHED     8308
  TCP    26.26.26.1:56602       119.126.113.234:8556   ESTABLISHED     8308
  TCP    26.26.26.1:56605       180.137.95.196:4580    TIME_WAIT       0
  TCP    26.26.26.1:56606       115.201.255.88:6703    ESTABLISHED     8308
  TCP    26.26.26.1:56609       182.86.43.85:22735     ESTABLISHED     8308
  TCP    26.26.26.1:56611       183.145.110.232:52950  ESTABLISHED     8308
  TCP    26.26.26.1:56613       171.104.185.220:32423  ESTABLISHED     8308
  TCP    26.26.26.1:56615       58.59.218.33:6705      ESTABLISHED     8308
  TCP    26.26.26.1:56616       117.86.156.65:6395     ESTABLISHED     8308
  TCP    26.26.26.1:56619       112.94.31.252:20325    ESTABLISHED     8308
  TCP    26.26.26.1:56621       39.188.196.222:56855   ESTABLISHED     8308
  TCP    26.26.26.1:56627       221.226.0.149:50293    ESTABLISHED     8308
  TCP    26.26.26.1:56643       23.59.88.35:443        CLOSE_WAIT      21232
  TCP    26.26.26.1:57601       115.238.129.3:443      CLOSE_WAIT      8308
  TCP    26.26.26.1:57616       183.130.251.133:40717  TIME_WAIT       0
  TCP    26.26.26.1:57620       183.145.110.232:52950  TIME_WAIT       0
